Year,Grade
2022,5.0
2022,1.7
2022,4.0
2022,3.7
2022,1.7
2022,5.0
2022,4.0
2022,2.0
2022,5.0
2022,5.0
2022,5.0
2022,5.0
2022,4.0
2022,3.7
2022,2.3
2022,2.7
2022,5.0
2022,5.0
2022,3.7
2022,2.3
2022,2.3
2022,5.0
2022,4.0
2022,5.0
2022,4.0
2022,5.0
2022,3.0
2022,3.7
2022,4.0
2022,1.0
2022,3.0
2022,1.7
2022,2.7
2022,2.3
2022,2.3
2022,5.0
2022,2.7
2022,4.0
2022,2.3
2022,1.0
2022,4.0
2022,4.0
2022,2.7
2022,2.3
2022,5.0
2022,1.0
2022,5.0
2022,3.0
2022,4.0
2022,2.3
2022,2.0
2022,5.0
2022,2.7
2022,3.0
2022,1.0
2022,1.7
2022,5.0
2022,1.3
2022,2.3
2022,1.3
2022,3.0
2022,2.0
2022,5.0
2022,1.7
2022,4.0
2022,4.0
2022,1.7
2022,2.3
2022,1.3
2022,2.7
2022,1.7
2022,1.0
2022,1.0
2022,4.0
2022,5.0
2022,3.7
2022,4.0
2022,1.7
2022,2.7
2022,1.7
2022,2.7
2022,3.3
2022,1.0
2022,4.0
2022,1.3
2021,4.0
2021,3.0
2021,5.0
2021,1.3
2021,2.3
2021,2.0
2021,2.7
2021,1.3
2021,1.0
2021,3.3
2021,3.0
2021,2.3
2021,3.0
2021,1.0
2021,4.0
2021,3.0
2021,2.3
2021,3.3
2021,3.0
2021,2.3
2021,3.3
2021,3.0
2021,1.3
2021,2.0
2021,1.3
2021,3.7
2021,1.7
2021,4.0
2021,4.0
2021,4.0
2021,3.0
2021,3.0
2021,3.3
2021,1.7
2021,5.0
2021,5.0
2021,1.3
2021,2.7
2021,4.0
2021,2.7
2021,4.0
2021,4.0
2021,2.0
2021,3.0
2021,2.0
2021,5.0
2021,1.0
2021,3.0
2021,2.3
2021,3.0
2021,3.0
2021,1.7
2021,5.0
2021,3.3
2021,3.3
2021,5.0
2021,1.3
2021,5.0
2021,1.3
2021,1.7
2021,1.3
2021,4.0
2021,3.0
2021,5.0
2021,5.0
2021,4.0
2021,5.0
2021,1.7
2021,2.0
2021,4.0
2021,1.3
2021,3.0
2021,5.0
2021,5.0
2021,2.7
2021,1.3
2021,2.3
2021,3.7
2021,4.0
2021,5.0
2021,1.0
2021,2.7
2021,2.0
2021,1.3
2021,2.7
2021,5.0
2021,1.7
2021,2.0
2021,4.0
2021,2.7
2021,2.0
2021,2.7
2021,4.0
2021,2.0
2021,1.0
2021,5.0
2021,2.7
2021,3.0
2021,2.0
2021,3.7
2021,1.7
2021,3.3
2021,3.7
2021,5.0
2021,3.3
2021,2.3
2021,3.0
2021,1.3
2021,1.0
2021,2.7
2021,4.0
2021,1.3
2021,5.0
2021,3.7
2021,2.0
2021,2.3
2021,3.3
2021,1.3
2021,2.3
2021,3.0
2021,1.0
2021,3.0
2021,3.3
2021,4.0
2021,1.0
2021,3.3
2021,3.0
2021,1.7
2021,1.0
2021,1.0
2021,3.7
2021,1.0
2021,1.0
2023,1.0
2023,2.0
2023,4.0
2023,3.7
2023,5.0
2023,3.7
2023,5.0
2023,1.7
2023,4.0
2023,5.0
2023,2.3
2023,2.3
2023,4.0
2023,3.3
2023,5.0
2023,1.7
2023,4.0
2023,2.3
2023,2.7
2023,2.0
2023,4.0
2023,2.7
2023,2.0
2023,2.3
2023,4.0
2023,4.0
2023,4.0
2023,5.0
2023,5.0
2023,3.3
2023,2.7
2023,3.0
2023,3.0
2023,3.7
2023,5.0
2023,1.7
2023,1.7
2023,3.0
2023,2.7
2023,2.7
2023,5.0
2023,4.0
2023,3.7
2023,2.0
2023,1.7
2023,5.0
2023,5.0
2023,2.7
2023,2.3
2023,4.0
2023,5.0
2023,3.7
2023,3.3
2023,3.3
2023,1.0
2023,2.0
