Bundesland / Messnetz,Stationscode,Stationsname,Stationsumgebung,Art der Station,Jahresmittelwert Feinstaub in µg/m³,Jahresmittelwert Kohlenmonoxid in mg/m³,Zahl der Tage mit höchstem 8-Stunden-Mittelwert über 120 µg/m³ Ozon,Jahresmittelwert Schwefeldixoid in µg/m³,Jahresmittelwert Stickstoffdioxid in µg/m³
"Bayern","DEBY037","München/Stachus","städtisches Gebiet","Verkehr","26","0.36","2","1.8","53"
"Brandenburg","DEBB032","Eisenhüttenstadt","vorstädtisches Gebiet","Industrie","17","0.23","6","2.2","9"
"Bremen","DEHB001","Bremen-Mitte","städtisches Gebiet","Hintergrund","17","0.29","4","1.2","22"
"Bremen","DEHB005","Bremerhaven-Hansastraße","städtisches Gebiet","Hintergrund","17","0.22","3","1.7","20"
"Hessen","DEHE001","Darmstadt","städtisches Gebiet","Hintergrund","17","0.23","10","0.99","23"
"Hessen","DEHE018","Raunheim","städtisches Gebiet","Hintergrund","17","0.32","13","1.2","99999.28"
"Mecklenburg-Vorpommern","DEMV004","Gülzow","ländliches Gebiet","Hintergrund","15","0.2","2","1.3","7"
"Mecklenburg-Vorpommern","DEMV022","Rostock-Holbeinplatz","städtisches Gebiet","Verkehr","20","0.3","0","1.7","27"
"Niedersachsen","DENI070","Salzgitter-Drütte","ländliches Gebiet","Industrie","15","0.26","1","2.7","16"
"Rheinland-Pfalz","DERP001","Ludwigshafen-Oppau","städtisches Gebiet","Hintergrund","18","0.27","14","1.3","22"
"Rheinland-Pfalz","DERP007","Mainz-Mombach","städtisches Gebiet","Hintergrund","17","0.23","13","1.2","99999.23"
"Rheinland-Pfalz","DERP019","Kaiserslautern-Rathausplatz","städtisches Gebiet","Hintergrund","16","0.26","8","1.4","21"
"Rheinland-Pfalz","DERP021","Neuwied-Hafenstraße","städtisches Gebiet","Hintergrund","19","0.27","14","1.1","99999.23"
"Rheinland-Pfalz","DERP025","Wörth-Marktplatz","städtisches Gebiet","Hintergrund","17","0.25","21","1.3","99999.18"
"Rheinland-Pfalz","DERP023","Worms-Hagenstraße","städtisches Gebiet","Verkehr","22","0.34","10","1.9","27"
"Saarland","DESL017","Völklingen-City Stadionstr.","städtisches Gebiet","Hintergrund","15","0.34","9","2.9","19"
"Saarland","DESL003","Dillingen City","städtisches Gebiet","Industrie","16","0.36","11","5.4","17"
"Sachsen-Anhalt","DEST011","Wernigerode/Bahnhof","städtisches Gebiet","Hintergrund","16","0.28","5","2.1","13"
"Sachsen-Anhalt","DEST015","Bitterfeld/Wolfen","vorstädtisches Gebiet","Industrie","16","0.23","12","1.6","14"
"UBA","DEUB030","Neuglobsow","ländlich regional","Hintergrund","13","0.17","3","0.74","4"
